Symbol,Path,Description
ABCB4R,BVMF-Equities\ABCB4R,ABC BRASIL  PN      N2
ABCB4,BVMF-Equities\ABCB4,ABC BRASIL  PN      N2
PINE3F,BVMF-Equities\PINE3F,PINE        ON      N2
PINE4,BVMF-Equities\PINE4,PINE        PN      N2
PINE3,BVMF-Equities\PINE3,PINE        ON      N2
ABCB4M,BVMF-Equities\ABCB4M,ABC BRASIL  PN      N2
PINE4F,BVMF-Equities\PINE4F,PINE        PN      N2
PINE4R,BVMF-Equities\PINE4R,PINE        PN      N2
PINE3Q,BVMF-Equities\PINE3Q,PINE        ON      N2
PINE4Q,BVMF-Equities\PINE4Q,PINE        PN      N2
PINE3M,BVMF-Equities\PINE3M,PINE        ON      N2
PINE3R,BVMF-Equities\PINE3R,PINE        ON      N2
SANB11,BVMF-Equities\SANB11,SANTANDER BRUNT
SANB11F,BVMF-Equities\SANB11F,SANTANDER BRUNT
SANB3,BVMF-Equities\SANB3,SANTANDER BRON
PINE4M,BVMF-Equities\PINE4M,PINE        PN      N2
SANB3F,BVMF-Equities\SANB3F,SANTANDER BRON
SANB11M,BVMF-Equities\SANB11M,SANTANDER BRUNT
SANB4F,BVMF-Equities\SANB4F,SANTANDER BRPN
SANB4,BVMF-Equities\SANB4,SANTANDER BRPN
SANB11R,BVMF-Equities\SANB11R,SANTANDER BRUNT
SANB11Q,BVMF-Equities\SANB11Q,SANTANDER BRUNT
SANB3M,BVMF-Equities\SANB3M,SANTANDER BRON
SANB4R,BVMF-Equities\SANB4R,SANTANDER BRPN
SANB4Q,BVMF-Equities\SANB4Q,SANTANDER BRPN
SANB3R,BVMF-Equities\SANB3R,SANTANDER BRON
SANB3Q,BVMF-Equities\SANB3Q,SANTANDER BRON
BNBR3R,BVMF-Equities\BNBR3R,NORD BRASIL ON
SANB4M,BVMF-Equities\SANB4M,SANTANDER BRPN
BNBR3F,BVMF-Equities\BNBR3F,NORD BRASIL ON
BNBR3Q,BVMF-Equities\BNBR3Q,NORD BRASIL ON
BNBR3,BVMF-Equities\BNBR3,NORD BRASIL ON
UGPA3Q,BVMF-Equities\UGPA3Q,ULTRAPAR    ON      NM
BNBR3M,BVMF-Equities\BNBR3M,NORD BRASIL ON
UGPA3,BVMF-Equities\UGPA3,ULTRAPAR    ON      NM
UGPA3R,BVMF-Equities\UGPA3R,ULTRAPAR    ON      NM
UGPA3F,BVMF-Equities\UGPA3F,ULTRAPAR    ON      NM
ITUB3,BVMF-Equities\ITUB3,ITAUUNIBANCOON      N1
ITSA3F,BVMF-Equities\ITSA3F,ITAUSA      ON      N1
ITSA4,BVMF-Equities\ITSA4,ITAUSA      PN      N1
ITSA3,BVMF-Equities\ITSA3,ITAUSA      ON      N1
UGPA3M,BVMF-Equities\UGPA3M,ULTRAPAR    ON      NM
ITSA3Q,BVMF-Equities\ITSA3Q,ITAUSA      ON      N1
ITUB3F,BVMF-Equities\ITUB3F,ITAUUNIBANCOON      N1
ITSA4F,BVMF-Equities\ITSA4F,ITAUSA      PN      N1
ITUB4F,BVMF-Equities\ITUB4F,ITAUUNIBANCOPN      N1
ITSA4R,BVMF-Equities\ITSA4R,ITAUSA      PN      N1
ITSA3M,BVMF-Equities\ITSA3M,ITAUSA      ON      N1
ITSA3R,BVMF-Equities\ITSA3R,ITAUSA      ON      N1
ITSA4Q,BVMF-Equities\ITSA4Q,ITAUSA      PN      N1
ITSA4M,BVMF-Equities\ITSA4M,ITAUSA      PN      N1
ITUB3M,BVMF-Equities\ITUB3M,ITAUUNIBANCOON      N1
ITUB3R,BVMF-Equities\ITUB3R,ITAUUNIBANCOON      N1
ITUB3Q,BVMF-Equities\ITUB3Q,ITAUUNIBANCOON      N1
ITUB4Q,BVMF-Equities\ITUB4Q,ITAUUNIBANCOPN      N1
ITUB4R,BVMF-Equities\ITUB4R,ITAUUNIBANCOPN      N1
BEES3,BVMF-Equities\BEES3,BANESTES    ON
ITUB4M,BVMF-Equities\ITUB4M,ITAUUNIBANCOPN      N1
BBDC3,BVMF-Equities\BBDC3,BRADESCO    ON  EJ  N1
BEES4,BVMF-Equities\BEES4,BANESTES    PN
BBDC3F,BVMF-Equities\BBDC3F,BRADESCO    ON  EJ  N1
BBDC4F,BVMF-Equities\BBDC4F,BRADESCO    PN  EJ  N1
BEES3F,BVMF-Equities\BEES3F,BANESTES    ON
BEES4F,BVMF-Equities\BEES4F,BANESTES    PN
BBDC3Q,BVMF-Equities\BBDC3Q,BRADESCO    ON  EJ  N1
BEES4R,BVMF-Equities\BEES4R,BANESTES    PN
BBDC3R,BVMF-Equities\BBDC3R,BRADESCO    ON  EJ  N1
BEES4Q,BVMF-Equities\BEES4Q,BANESTES    PN
BEES4M,BVMF-Equities\BEES4M,BANESTES    PN
BBDC3M,BVMF-Equities\BBDC3M,BRADESCO    ON  EJ  N1
BBDC4Q,BVMF-Equities\BBDC4Q,BRADESCO    PN  EJ  N1
BBDC4R,BVMF-Equities\BBDC4R,BRADESCO    PN  EJ  N1
BEES3R,BVMF-Equities\BEES3R,BANESTES    ON
BEES3M,BVMF-Equities\BEES3M,BANESTES    ON
BEES3Q,BVMF-Equities\BEES3Q,BANESTES    ON
BBDC4M,BVMF-Equities\BBDC4M,BRADESCO    PN  EJ  N1
BSLI4F,BVMF-Equities\BSLI4F,BRB BANCO   PN
BSLI3F,BVMF-Equities\BSLI3F,BRB BANCO   ON
BSLI4,BVMF-Equities\BSLI4,BRB BANCO   PN
BSLI3,BVMF-Equities\BSLI3,BRB BANCO   ON
BSLI3M,BVMF-Equities\BSLI3M,BRB BANCO   ON
BSLI4R,BVMF-Equities\BSLI4R,BRB BANCO   PN
BSLI4Q,BVMF-Equities\BSLI4Q,BRB BANCO   PN
BSLI3R,BVMF-Equities\BSLI3R,BRB BANCO   ON
BSLI3Q,BVMF-Equities\BSLI3Q,BRB BANCO   ON
BRSR3,BVMF-Equities\BRSR3,BANRISUL    ON      N1
BRSR3F,BVMF-Equities\BRSR3F,BANRISUL    ON      N1
BRSR6F,BVMF-Equities\BRSR6F,BANRISUL    PNB     N1
BSLI4M,BVMF-Equities\BSLI4M,BRB BANCO   PN
BRSR6,BVMF-Equities\BRSR6,BANRISUL    PNB     N1
BRSR6Q,BVMF-Equities\BRSR6Q,BANRISUL    PNB     N1
BRSR6R,BVMF-Equities\BRSR6R,BANRISUL    PNB     N1
BRSR6M,BVMF-Equities\BRSR6M,BANRISUL    PNB     N1
BRSR5F,BVMF-Equities\BRSR5F,BANRISUL    PNA     N1
BRSR5,BVMF-Equities\BRSR5,BANRISUL    PNA     N1
BPAR3F,BVMF-Equities\BPAR3F,BANPARA     ON  EJ
BPAR3,BVMF-Equities\BPAR3,BANPARA     ON  EJ
BRSR3M,BVMF-Equities\BRSR3M,BANRISUL    ON      N1
BRSR3R,BVMF-Equities\BRSR3R,BANRISUL    ON      N1
BRSR3Q,BVMF-Equities\BRSR3Q,BANRISUL    ON      N1
RPAD6Q,BVMF-Equities\RPAD6Q,ALFA HOLDINGPNB ED
RPAD6M,BVMF-Equities\RPAD6M,ALFA HOLDINGPNB ED
RPAD3R,BVMF-Equities\RPAD3R,ALFA HOLDINGON  ED
RPAD6R,BVMF-Equities\RPAD6R,ALFA HOLDINGPNB ED
RPAD3Q,BVMF-Equities\RPAD3Q,ALFA HOLDINGON  ED
RPAD3M,BVMF-Equities\RPAD3M,ALFA HOLDINGON  ED
TF0Z98,BVMF-Derivatives\TF0Z98,Instrumento de Teste - Engine 03 - MD 10 - DR
TF0Z99,BVMF-Derivatives\TF0Z99,Instrumento de Teste - Engine 03 - MD 10 - DR
TF0Z90,BVMF-Derivatives\TF0Z90,Instrumento de Teste - Engine 03 - MD 10 - DR
BPAC3T,BVMF-Equities\BPAC3T,BTGP BANCO  ON      N2
WINJ26,BVMF-Derivatives\WINJ26,IBOVESPA MINI
WINQ26,BVMF-Derivatives\WINQ26,IBOVESPA MINI
TF0Z97,BVMF-Derivatives\TF0Z97,Instrumento Teste SPA
WINZ25,BVMF-Derivatives\WINZ25,IBOVESPA MINI
BPAC5T,BVMF-Equities\BPAC5T,BTGP BANCO  PNA     N2
WINJ26,BVMF-Derivatives\WINJ26,IBOVESPA MINI
RPMG3T,BVMF-Equities\RPMG3T,PET MANGUINHON
WINM26,BVMF-Derivatives\WINM26,IBOVESPA MINI
CSAN3T,BVMF-Equities\CSAN3T,COSAN       ON      NM
WINV26,BVMF-Derivatives\WINV26,IBOVESPA MINI
